timestamp;SID;Etapa;Subetapa;Remoto;Local;Fase
03/07-14:51:36.142272 ;384;1;0;202.77.162.213;172.16.115.5;1
03/07-14:51:36.142481 ;408;1;0;202.77.162.213;172.16.112.194;1
03/07-14:51:36.522920 ;384;1;0;202.77.162.213;172.16.115.20;1
03/07-14:51:36.523117 ;408;1;0;202.77.162.213;172.16.115.20;1
03/07-14:51:38.224662 ;384;1;0;202.77.162.213;172.16.115.87;1
03/07-14:51:38.225436 ;408;1;0;202.77.162.213;172.16.115.87;1
03/07-14:51:41.955315 ;384;1;0;202.77.162.213;172.16.115.234;1
03/07-14:51:41.955526 ;408;1;0;202.77.162.213;172.16.112.194;1
03/07-14:51:50.267161 ;384;1;0;202.77.162.213;172.16.113.50;1
03/07-14:51:50.267354 ;408;1;0;202.77.162.213;172.16.113.50;1
03/07-14:51:51.133917 ;384;1;0;202.77.162.213;172.16.113.84;1
03/07-14:51:51.134111 ;408;1;0;202.77.162.213;172.16.112.194;1
03/07-14:51:51.667931 ;384;1;0;202.77.162.213;172.16.113.105;1
03/07-14:51:51.668699 ;408;1;0;202.77.162.213;172.16.113.105;1
03/07-14:51:52.761594 ;384;1;0;202.77.162.213;172.16.113.148;1
03/07-14:51:52.762437 ;408;1;0;202.77.162.213;172.16.113.148;1
03/07-14:51:53.271311 ;384;1;0;202.77.162.213;172.16.113.168;1
03/07-14:51:53.271560 ;408;1;0;202.77.162.213;172.16.112.194;1
03/07-14:51:53.296596 ;384;1;0;202.77.162.213;172.16.113.169;1
03/07-14:51:53.296729 ;408;1;0;202.77.162.213;172.16.112.194;1
03/07-14:51:54.187090 ;384;1;0;202.77.162.213;172.16.113.204;1
03/07-14:51:54.187263 ;408;1;0;202.77.162.213;172.16.112.194;1
03/07-14:51:54.263051 ;384;1;0;202.77.162.213;172.16.113.207;1
03/07-14:51:54.263207 ;408;1;0;202.77.162.213;172.16.112.194;1
03/07-14:51:55.797145 ;384;1;0;202.77.162.213;172.16.112.10;1
03/07-14:51:55.797195 ;408;1;0;202.77.162.213;172.16.112.10;1
03/07-14:51:56.050265 ;384;1;0;202.77.162.213;172.16.112.20;1
03/07-14:51:56.050431 ;408;1;0;202.77.162.213;172.16.112.194;1
03/07-14:51:56.814707 ;384;1;0;202.77.162.213;172.16.112.50;1
03/07-14:51:56.814875 ;408;1;0;202.77.162.213;172.16.112.50;1
03/07-14:51:58.090533 ;384;1;0;202.77.162.213;172.16.112.100;1
03/07-14:51:58.090686 ;408;1;0;202.77.162.213;172.16.112.100;1
03/07-14:51:58.220440 ;384;1;0;202.77.162.213;172.16.112.105;1
03/07-14:51:58.223819 ;408;1;0;202.77.162.213;172.16.112.105;1
03/07-14:51:59.339156 ;384;1;0;202.77.162.213;172.16.112.149;1
