timestamp;SID;Etapa;Subetapa;Remoto;Local
03/07-15:50:01.819752 ;716;2;1;202.77.162.213;172.16.115.20
03/07-15:50:02.146207 ;610;3;1;202.77.162.213;172.16.115.20
03/07-15:50:02.346137 ;610;3;1;202.77.162.213;172.16.115.20
03/07-15:50:03.746198 ;610;3;1;202.77.162.213;172.16.115.20
03/07-15:50:04.746124 ;610;3;1;202.77.162.213;172.16.115.20
03/07-15:50:21.064056 ;716;2;1;202.77.162.213;172.16.112.10
03/07-15:50:21.344974 ;610;3;1;202.77.162.213;172.16.112.10
03/07-15:50:21.544941 ;610;3;1;202.77.162.213;172.16.112.10
03/07-15:50:37.923074 ;716;2;1;202.77.162.213;172.16.112.50
03/07-15:50:38.344016 ;610;3;1;202.77.162.213;172.16.112.50
03/07-15:50:38.543963 ;610;3;1;202.77.162.213;172.16.112.50
