Remoto;Local;Etapa 1;Etapa 2;Etapa 3;Etapa 4
202.77.162.213;172.16.115.20;0;1;0;0
127.93.72.86;131.84.1.31;0;0;1;0
127.192.221.148;131.84.1.31;0;0;1;0
127.230.246.186;131.84.1.31;0;0;1;0
127.177.55.200;131.84.1.31;0;0;1;0
127.189.65.193;131.84.1.31;0;0;1;0
127.115.205.97;131.84.1.31;0;0;1;0
127.251.202.180;131.84.1.31;0;0;1;0
127.188.250.89;131.84.1.31;0;0;1;0
127.162.155.202;131.84.1.31;0;0;1;0
127.212.69.124;131.84.1.31;0;0;1;0
127.86.167.55;131.84.1.31;0;0;1;0
127.204.32.37;131.84.1.31;0;0;1;0
127.170.98.121;131.84.1.31;0;0;1;0
127.106.251.100;131.84.1.31;0;0;1;0
127.119.45.19;131.84.1.31;0;0;1;0
127.11.8.18;131.84.1.31;0;0;1;0
127.174.29.206;131.84.1.31;0;0;1;0
127.243.122.100;131.84.1.31;0;0;1;0
127.20.253.237;131.84.1.31;0;0;1;0
127.10.120.100;131.84.1.31;0;0;1;0
127.92.241.180;131.84.1.31;0;0;1;0
127.128.29.187;131.84.1.31;0;0;1;0
127.188.166.40;131.84.1.31;0;0;1;0
127.55.231.189;131.84.1.31;0;0;1;0
127.206.80.43;131.84.1.31;0;0;1;0
127.27.221.200;131.84.1.31;0;0;1;0
127.216.79.142;131.84.1.31;0;0;1;0
127.215.109.89;131.84.1.31;0;0;1;0
127.253.138.217;131.84.1.31;0;0;1;0
127.18.156.189;131.84.1.31;0;0;1;0
127.213.240.223;131.84.1.31;0;0;1;0
127.46.215.94;131.84.1.31;0;0;1;0
127.123.199.165;131.84.1.31;0;0;1;0
127.158.106.174;131.84.1.31;0;0;1;0
127.178.187.191;131.84.1.31;0;0;1;0
127.63.18.28;131.84.1.31;0;0;1;0
127.151.103.195;131.84.1.31;0;0;1;0
127.252.59.29;131.84.1.31;0;0;1;0
127.56.168.10;131.84.1.31;0;0;1;0
127.181.150.111;131.84.1.31;0;0;1;0
127.115.146.28;131.84.1.31;0;0;1;0
127.217.194.25;131.84.1.31;0;0;1;0
127.18.23.74;131.84.1.31;0;0;1;0
127.156.118.203;131.84.1.31;0;0;1;0
127.250.11.107;131.84.1.31;0;0;1;0
